Oberkategorie,Satzkategorie,Directions
,Bewegung singular,#User# #Beschreibung?optional# #Verb#  #Ortsbestimmung#
,Bewegung plural ,#User# und #User# #Beschreibung?optional# #Verb# #Ortsbestimmung#
,Technik singular,#Objekt# #Verb#
,Technik plural,#Objekt# #Verb#
,Ding singular,#Objekt# #Verb#
,Ding plural,#Objekt# #Verb#
,Stimme singular,#User# #Verb# #Adverb?optional#
,Stimme plural,#User# #Verb# #Adverb?optional#
,Auftritt singular,#User# #Verb#
,Auftritt plural,#User# #Verb#
,Abgang singular,#User# #Verb#
,Abgang plural,#User# #Verb#
,Phrase,#Phrase#
,Wort,#Wort#
,Relation plural,#User# und #User# #Verb# #User#
,Relation singular,#User# #Verb# #User#
,Essen singular,#User# #Verb# #Objekt# #Ortsbestimmung_Zustand?optional#
,Essen plural,#User# #Verb# #Objekt# #Ortsbestimmung_Zustand?optional#
,Zustand plural,#User# und #User# #Verb# Adjektiv
,Zustand singular,#User# #Verb# #Adjektiv
,machen singular,#User# #Tätigkeit#
,machen plural,#User# #Tätigkeit#
